track_name,artist_name,play_count,lyrics,error
HUMBLE.,Kendrick Lamar,46574,"Nobody pray for me
It been that day for me
Way (Yeah, yeah)

Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I'm countin’ this
Parmesan where my accountant lives, in fact, I'm downin' this
D’ussé with my boo bae, tastes like Kool-Aid for the analysts
Girl, I can buy your ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down, we playin' Tetris
A.m. to the p.m., p.m. to the a.m., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

Bitch, be humble (Hold up, bitch)
Sit down (Hold up, lil'— hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, sit down, lil’— sit down, lil’ bitch)
Be humble (Hold up, hold up, hold up, hold up, lil' bitch)
Bitch, sit down (Hold up, lil’ bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, hold up, hold up, hold up)
Be humble (Hold up, hold up, hold up, hold up, lil'—)
Sit down (Hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, sit down, lil'— sit down, lil’ bitch)
Be humble (Hold up, hold up, hold up, hold up, lil' bitch)
Bitch, sit down (Hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, hold up, hold up, hold up)

Who that nigga thinkin' that he frontin' on Man-Man? (Man-Man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still'll take you down right on your mama couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a nigga, it won't be the alcohol, ayy
I'm the realest nigga after all

Bitch, be humble (Hold up, bitch)
Sit down (Hold up, lil'— hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, sit down, lil'— sit down, lil' bitch)
Be humble (Hold up, hold up, hold up, hold up, lil' bitch)
Bitch, sit down (Hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, hold up, hold up, hold up)
Be humble (Hold up, hold up, hold up, hold up, lil'—)
Sit down (Hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, sit down, lil'— sit down, lil' bitch)
Be humble (Hold up, hold up, hold up, hold up, lil' bitch)
Bitch, sit down (Hold up, lil' bitch)
Be humble (Hold up, bitch)
Sit down (Hold up, hold up, hold up, hold up)",
One Dance,Drake,43447,"Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Baby, I like your style

Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Fine like a wine, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and whine it
Back up, back up, and whine it
Girl, just back up, back up, back up, and whine, girl
Oh, yes, steady and fine
Back, up, back up and whine it, mm

Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (
Oh, yeah, very long time
)
Where, where, where (
Back up, back up, and whine am, girl
)
Where, where, where, where
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)
'Cause if you're down (
Back up, back up, and–
)

I need a one dance (
Where, where, where
)
Got a Hennessy in my hand (
Where, where, where, where
)
One more time 'fore I go (
Where
)
Higher powers taking a hold on me (
Where, where, where, where
)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s",
Broccoli (feat. Lil Yachty),DRAM,41309,":
I know you want this for life,
Taking pictures with all my ice
But I can't have no, no wife,
I just want you for the night,
:
Aye, lil mama would you like to be my sunshine?
Nigga touch my gang,
We gon' turn this into columbine
Ice on my neck cost me 10 times 3
Thirty thousand dollars for a nigga to get flee
I just hit the rodeo and spent like 10 G's
I just did a show, spent a cheque on my mama
When I go on vacay, I might rent out the Bahamas
And I keep like 10 phones,
Damn, I'm really never home,
:
Pulled up on your chick, tell your man I'm sorry
Hundred on my wrist jumping out the 'Rari
Ooh, she hit the splits, she know how to party
When I'm with my clique she know how to party
:
Sorry!
(I ain't sorry)
Sorry!
(I ain't sorry)
Sorry!
(I ain't sorry)
Sorry!
N--
:
Black beatles in the city, we'll be back immediately
To confiscate the money
To confiscate the money
:
I just got the ring, I think I deserve a toast
Shout-out to my team we be out here doing the most,
Girl, come to my place
But don't bring no clothes
Let's get dirty babe,
Baby, drop it low
Pop rubber bands, all on her ass
Girl you been eating your wheaties
All in the back, dishin' the cash, make me if you need it
I got a few girls on the way, baby girl, you ain't leavin'
It's my birthday with the cake,
Mess it up and let me eat it
:
I go, I go, I go, I go, cray-a-a-a-azy
A-a-azy, A-a-azy!
I go, I go, I go, I go, cray-a-a-a-azy
A-a-azy, A-a-azy!
:
To feel a little more, and give a little less
Know you hate to confess
But baby whooo, you needed me
Ohh lay, ohh lay, ohh lay, ohh lay, ohh lay, ohh lay, ohh lay,
Yo lay, yo lay, yo lay
Yo' head down girl
(back and forth)
:
Ohhhh!
Ohhhh!
Ohhhhhhhh!
Ohhhhhhhh!
Ohhhh
Ohhhh!
Ohh
Ohh
Na, na, na, na, na!
Na, na, na, na, na!
---------------------------------------------------------------------------
(Harmonizing towards the end)",
Closer,The Chainsmokers,41079,"Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older

You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And 
I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
No
, 
we ain't ever gettin' older
We ain't ever gettin' older
No
, 
we ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
No
, 
we ain't ever gettin' older

Older
We ain't ever gettin' older
Older
No, 
we ain't ever gettin' older",
Congratulations,Post Malone,39987,"Mm-mm
Yeah, yeah
Mm-mm
Yeah (Hey)

My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh)
They ain't never had the dedication (Uh, uh)
People hatin', say we changed and look, we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh)

They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like an addict, yeah
I'm surrounded by twenty bad bitch, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah)
But all that mean nothing when I saw my dough, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everyone countin' on me drop the ball, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everything custom like I'm at the border, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eye

My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (
Congratulations
)
Worked so hard, forgot how to vacation (
Ooh
)
They ain't never had the dedication (Uh, uh, 
ayy
)
People hatin', say we changed and look, we made it (
Look who's jokin' now
, uh, uh)
Yeah,  we made it (Uh, uh, uh, 
yeah
)

I was patient (Yeah, oh)
I was patient (Ayy, ooh)
Now I can scream that we made it (We made it)
Now everywhere, everywhere I go, they say 'gratulation (Uh)
Young nigga, young nigga graduation (Yeah)
I pick up the rock and I ball, baby (Ball)
I'm looking for someone to call, baby (Brr)
But right now, I got a situation (Ayy)
Never old Ben, Ben Franklins (Cash)
Big rings (Woo), champagne (Champagne)
My life is like a ball game (Ball game)
But instead, I'm in the trap, though (Trap, though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (Brr), get in the Rolls (Skrrt)
Top-floor lifestyle (Top), Huncho and Post (Yeah, ayy)
Malone (Ayy), I got a play on my phone (Ayy)
You know what I'm on (Ayy), Huncho Houdini is gone (Ayy)

My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (
Ayy,
 uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh, 
ooh
)
They ain't never had the dedication (
Ayy,
 uh, uh)
People hatin', say we changed and look, we made it (
Yeah, 
 uh, uh)
Yeah, we made it (
Ayy
)

Hey, hey, hey, hey
Hey, hey, hey, hey",
Caroline,Aminé,35202,"Listen, man
What's up?
I heard you done got you a dime piece, man
Hell naw, man, that nigga lyin', cuz
One of them Beyoncé, Meagan Good types, man
Nah, nah, nah
Is that true, man?
I just wanna know
Probably not
I mean, shit, to be honest with you, man, she's a

Bad thang (Shit), fine as hell (Woo), thick as fuck
Oh my God (Damn), that's my baby
Caroline, you divine, mighty fine
Shawty really blow the pipe (That's true), like a pro
Aha, fuck you thought?

Holy shit, I'm really lit (It's lit)
It's lookin' like it's 'bout time (Shee), to fuck it up (Work)
Caroline, listen up, don't wanna hear
About your horoscope or what the future holds
Shut up and, shut up and
Let's get gory like a Tarantino movie
Don't wanna talk it out, can we fuck it out?
'Cause we gon' be up all night, fuck a decaf
You say I'm a tall thug, guess I'm a G-raffe
If you want safe sex, baby, use the knee pads
Freaky with the sticky-icky, baby, give me kitty, kitty
Mmm, killa, westside nigga (Ayy, ayy, goddamn)
Boy, you like 98 degrees and I'm 300
Nigga, keep your feet runnin' (Hot, hot)
I Chief-Keef-Keef when I eat these beats, bet a boy get scurred (Get scurred)
Don't run up in my lane, I don't want you in my lane
You a lame, get swerved

'Cause great scenes might be great
But I love your bloopers
And perfect's for the urgent
Baby, I want forever
And, Caroline, don't you see that
I want you to be my—

Bad thang (Woah, shit), fine as hell (Woo), thick as fuck
Oh my God (Damn), that's my baby (Woah, woah)
Caroline, you divine, mighty fine (Woah-oh-oh)
Shawty really blow the pipe (That's true), like a pro (Ah)
Aha
 (Wha-?)

Holy shit, I'm really lit (It's lit)
It's lookin' like it's 'bout time (Shee), to fuck it up (Work)
Caroline, listen up, don't wanna hear
About your horoscope or what the future holds
Shut up and, shut up and

Let's get gory like a Tarantino movie
Don't wanna talk it out, can we fuck it out?
'Cause we gon' be up all night, fuck a decaf
You say I'm a tall thug, guess I'm a G-raffe
If you want safe sex, baby, use the knee pads
Freaky with the sticky-icky, baby, give me kitty, kitty
Mmm, killa, westside nigga (Ayy, ayy, damn)
Boy, you like 98 degrees and I'm 300
Nigga, keep your feet runnin' (Hot, hot)
I Chief-Keef-Keef when I eat these beats, bet a boy get scurred (Get scurred)
Don't run up in my lane, I don't want you in my lane
You a lame, get swerved

'Cause great scenes might be great
But I love your bloopers
And perfect's for the urgent
Baby, I want forever
And Caroline (Caroline), don't you see that
I want you to be my

Bad thang, bad, bad, bad, bad thang, thang, thang, thang, thang (Caroline)
Bad thang, thang, bad, bad, bad, b-b-bad, thang, thang (Oh, Caroline)
Bad thang, thang, thang, bad, b-bad, bad thang, thang, thang
Bad, bad thang, thang, bad, bad, bad, b-b-bad (Oh, Caroline)",
iSpy (feat. Lil Yachty),KYLE,35138,"Dostum, sikeyim
Sorun ne Kyle?
Dostum, bu çocuklar, boş boş konuşup sinirimi bozuyorlar
Aga, sikeyim o çocukları, hayatına bak aga, etrafına bak
Dostum.. Haklısın
Hmm, şuradaki sağlam orospuları görüyor musun?
Vay, evet
Şu ağaçları görüyor musun? Peki ya şu suyu?
Sanırım sorun falan yok
Hadi ama kardeşim, şükretmen gereken çok şey var
Aga.. Düşündüm de.. Haklısın
Çok haklısın ki çok haklıyım. Çok haksız olduğum bir gün bile hatırlamıyorum
Sağol Lil Boat, dostum
Kanka, bu yüzden buradayım

Son zamanlarda kafayı bulmuyordum...
Pekala, belki biraz bebeğim, yalan söylemek istemiyorum
Bana mesaj attığında, kızım, her zaman cevap vermiyorum biliyorum
Sen bir melek değilsin, uçamıyorsun bile
Fark ediyorum ki, bir şeyler bildiğini sanıyorsun
Tüm bu hayaletler bana doğru geliyor, kimin fırlattığını merak ediyorum
Vizyonu göremiyorlar, dostum dikkatlari dağılmış olmalı
Bu gerçekten güzel bir albüm ahbap, kim yazdı merak ediyorum, oh lanet olsun
Tamam, o zencilerin gitmesini diliyorum
Cirque Du Soleil gibi her zaman etrafta palyaçolar var
Bu bir albüm değil, hatta bunlar sadece gelişi güzeller
Bu şey çok soğuk, piyasaya sürüldüğünde kar günü olacak
Ayy, o iyi ve bunu biliyor, söylemiyor, sadece gösteriyor
Ben tıpkı DeRozan gibiyim, shoot atarsam girer
Cali'de güneşleniyorum, onlar o kadar ıslanıyor ki kızağa ihtiyaçları var
Oprah ile selfie'im var, sadece paylaşasım yok
Mutlu mekanımda takılıyorum, 2006' dan beri somurtmuyorum
2001' den beri ağlamıyorum, benim mekanım Six Flags gibi ve senin evin
Hiç eğlenceli değil
Benimkine geri de gelebilirsin, arkadaşın tatlı değil
Fakat sorun değil
Yüksek notada bitireceğiz

Küçük gözümle gözlüyorum
Elde edebileceğim bir kız çünkü çok fazla beğeni almıyor
Kıvırcık tatlı bir kız, karım olabilir
Dur, bu hep, sonsuzluk anlamına geliyor, bekle, boş ver
Oh, küçük gözümle gözlüyorum
Küçük gözümle gözlüyorum
Elde edebileceğim bir kız çünkü çok fazla beğeni almıyor
Kıvırcık tatlı bir kız, karım olabilir
Dur, bu hep, sonsuzluk anlamına geliyor, bekle, boş ver

Oh, küçük gözümle gözlüyorum
Gözlüyorum, küçük gözümle gözlüyorum
Oh, küçük gözümle gözlüyorum
Gözlüyorum, küçük gözümle gözlüyorum
Oh ben...

21 yaşında olduğunu söylüyor, kimlik görmem gerek
Bütün orospularım çift çift geliyor aşağıdaki taşaklarım gibi
Bir Hatchback'te şehri turladığım günleri hatırlıyorum
Genç goblinlerimle bir sorun arıyoruz
Modelimi evine boynundaki ağrılarla gönderiyorum
O kadar çok para kazandım ki durdurulamıyor
Kardeşlerim soyadım gibi yanımdadır
Herkese evcilleşmeyeceğimi söylediğim zamanlar aklımda
Woah, altı ay sonra ters döndüm ve şimdi oyundayım
Sahte zincir kolyelerden bambaşka seviyelerde elmaslar
""Beni buradan alabilir misiniz?"" sveiyesinden buraya geldim
Beni siklemeyen bir sürü insanı hatırlıyorum
Üniversiteye gittiler, şimdi hepsi tarih oldu
Dişimdeki altını elmasa dönüştürdüm
Arabamızda sert takılıyoruz, gizemli şeyler peşindeyiz (Raggy!)
Beni siklememeye devam et
Uzun zamandır lüks içinde yaşıyorum, hayır
Boat ve Kyle piyano tuşları gibi birbirinden ayrılmaz
Anneannemin üstüne yemin ederim ki asla bir orospuyu kondomsuz sikmem

Küçük gözümle gözlüyorum
Elde edebileceğim bir kız çünkü çok fazla beğeni almıyor
Kıvırcık tatlı bir kız, karım olabilir
Dur, bu hep, sonsuzluk anlamına geliyor, bekle, boş ver
Oh, küçük gözümle gözlüyorum
Küçük gözümle gözlüyorum
Elde edebileceğim bir kız çünkü çok fazla beğeni almıyor
Kıvırcık tatlı bir kız, karım olabilir
Dur, bu hep, sonsuzluk anlamına geliyor, bekle, boş ver

Oh, küçük gözümle gözlüyorum
Gözlüyorum, küçük gözümle gözlüyorum
Oh, küçük gözümle gözlüyorum
Gözlüyorum, küçük gözümle gözlüyorum
Oh ben...",
Bad and Boujee (feat. Lil Uzi Vert),Migos,34999,"You know, young rich niggas
You know somethin', we ain't really never had no old money
We got a whole lotta new money though, hah
(
If Young Metro don't trust you, I'm gon' shoot you
)
Hey

Raindrop (Drip), drop-top (Drop-top)
Smokin' on Cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope)
My niggas is savage, ruthless (Hey)
We got 30s and hundred-rounds too (Glah)

Offset, woo, woo, woo, woo, woo
Rackaids on rackaids (Racks), got back-ends on back-ends
I'm ridin' around in a coupe (Coupe)
I take your bih' right from you (You)
Bitch, I'm a dog, roof (Rrr)
Beat the ho walls loose (Hey)
Hop in the frog, whoo (Skrrt)
I tell that bih' to come comfort me (Comfort me)
I swear these niggas is under me (Hey)
They hate and the devil keep jumpin' me (Jumpin' me)
Bankrolls on me keep me company (Cash)
Ayy, we do the most (Most)
Yeah, pull up in Ghosts (Woo)
Yeah, my diamond's a choker (Glah)
Holdin' the fire with no holster (Blaow)
Rick the Ruler, diamonds cooler (Cooler)
This a Rollie, not a Muller (Hey)
Dabbin' on 'em like the usual (Dab)
Magic with the brick, do voodoo (Magic)
Courtside with a bad bitch (Bitch)
Then I send the bitch through Uber (Go)
I'm young and rich and plus I'm bougie (Hey)
I'm not stupid so I keep the Uzi (Rrah)
Rackaids on rackaids, got back-ends on back-ends
So my money makin' my back ache (Aagh)
You niggas got a low Act rate (Act)
We from the Nawf, yeah, Dat Way (Nawf)
Fat Cookie blunt in the ashtray (Cookie)
Two bitches, just national smash day (Smash)
Hop in the Lamb', have a drag race (Skrrt)
I let them birds take a bath, bae (Brr)

Raindrop (Drip), drop-top (Drop-top)
Smokin' on Cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope)
My niggas is savage, ruthless (Hey)
We got 30s and hundred-rounds too (Glah)

Pour a four, I'm droppin' muddy, outer space, Kid Cudi (Drank)
Introduce me to your bitch as wifey and we know she sluttin' (Bitch)
Broke a brick down, Nutty Buddy, now that nigga duckin' (Phew)
Don't move too fast, I might shoot ya (Huh?)
Draco bad and bougie (Draco)
I'm always hangin' with shooters (Brrah)
Might be posted somewhere secluded (Private)
Still be playin' with pots and pans, call me Quavo Ratatouille (Cook it up)
Run with that sack, call me Boobie (Run with it)
When I'm on stage, show me boobies (Ayy)
Ice on my neck, I'm the coolest (Ice)
Hop out the suicide with the Uzi (Pew-pew-pew)
I pull up, I pull up, I pull up
I hop out with all of the drugs and the good luck (Skrrt)
I'm cookin', I'm cookin', I'm whippin'
I'm whippin' until it rock up, let it lock up (Lock up)
I gave her ten racks
I told her go shoppin' and spend it all at the pop up (Ten)
These bitches, they fuck and suck dick
And they bustin' for Instagram, get your clout up
Uh, yeah, that way (Yeah)
Float on the track like a Segway (Go)
Yeah, that way (Dat way)
I used to trap by the Subway (Trappin', trappin')
Yeah, that way (Go)
Young nigga trap with the AK (Rrah, uh)
Yeah, that way (Yeah)
Big dyke ho, get the door, Macy Gray (Hey)

Raindrop (Drip), drop-top (Drop-top)
Smokin' on Cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope, 
huh?
)
My niggas is savage, ruthless (Hey, 
what?
)
We got 30s and hundred-rounds too (Glah, 
Lil Uzi
)

Yeah, yeah, yeah, yeah, yeah, yeah (Yeah)
My bitch, she bad to the bone (She what?)
Ayy, wait, these niggas watchin'
I swear to God they be my clones (They watchin')
Yeah, hey, huh
Switchin' my hoes like my flows (What?)
Switchin' my flows like my clothes (Like what?)
Keep on shootin' that gun, don't reload (Damn)
Ooh, ooh, now she want fuck with my crew (My crew)
'Cause the money come all out the roof (Damn, damn)
Drive the 'Rari, that bitch got no roof (Skrrt)
Wait, what kind of 'Rari? (Wait) 458 (Damn)
All of these niggas, they hate (They hate)
Try to hide, shoot through the gate (Wow)
Look, go to strip club, make it rain, yeah
So much money they use rakes (They use rakes)
Count a hundred thousand in your face (In your face)
Yeah, then put 300 right in the safe (Yeah)
Met her today, yeah (Ooh)
She talk to me like she knew me, yeah (Ooh)
Go to sleep in a jacuzzi, yeah (Yeah)
Wakin' up right to a two-piece, yeah
Countin' that paper like loose-leaf, yeah
Gettin' that chicken with blue cheese, yeah
Boy, you so fake, like my collar, you snakin'
I swear to God that be that Gucci (Ayy)
And you know we winnin' (Winnin')
Yeah, we is not losin'
Try to play your song, it ain't move me (What?)
Saw your girl once, now she choosin', yeah (
Hey!
)

Raindrop (Drip), drop-top (Drop-top)
Smokin' on Cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot, 
yeah
)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody, yeah)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey, 
Lil Uzi
)
My bitch is bad and bougie (Bad, 
she bad
)
Cookin' up dope with a Uzi (Blaow, 
cookin' up, cookin' up
)
My niggas is savage, ruthless (Savage, 
they savage
)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope, 
what?
)
My niggas is savage, ruthless (Hey, 
yeah
)
We got 30s and hundred-rounds too (
Lil Uzi
)",
Location,Khalid,34990,"Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through (place to come through)
Send me your location
Let's ride the vibrations
I don't need nothing else but you
(do not need nothing else but you)

At times I wonder why I fool with you
But this is new to me, this is new to you
Initially, I didn't wanna fall for you
Gather my attention it was all for you, so don't
Take advantage, don't leave my heart damaged
I understand that things go a little bit better when you plan it... oh, so won't

Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through
Send me your location
Let's ride the vibrations
I don't need nothing else but you
(I don't need nothing else but you)

I don't wanna fall in love off of subtweets, so
Let's get personal
I got a lot of cool spots that we can go
Tell me what's the move and I got you
I'm only acting like this 'cause I like you
Just give me the vibe to slide in
Oh, I might make you mine by the night, and

Send me your location, let's
Focus on communicating
'Cause I just need the time and place to come through (place to come through)
Send me your location
Let's ride the vibrations
I don't need nothing else but you
(I don't need nothing else but you)

Ride, ride, ride, come and vibe with me tonight
I don't need nothing else but you
(I don't need nothing else but you)
Ride, ride, ride, come and vibe with me tonight
I don't need nothing else but you
Nothing else but you
Do, do, do, do, do, do
Oh, oh, mmm, mmm, mmm, mmm
Oh, oh, oh
Oh, oh, oh, mmm, mmm, mmm
Do, do, do, do, do, do, do, do
Do, do, do, do, do, do, do
I don't need nothing else but you",
XO TOUR Llif3,Lil Uzi Vert,34922,"Are you alright?
I'm alright, I'm quite alright
And my money's right
(
8
) Yeah
Countin' them bands all way to the top 'til they be fallin' over (Yeah, yeah, yeah)
Countin' them bands on my way to the top 'til it's fallin' over

I don't really care if you cry
On the real, you should've never lied
Should've saw the way she looked me in my eyes
She said, ""Baby, I am not afraid to die""
Push me to the edge
All my friends are dead, push me to the edge
All my friends are dead, push me to the edge
All my friends are dead, push me to the edge

Phantom that's all red, inside all white
Like somethin' you ride a sled down, I just want that head
My bracelet Hermès, her bracelet Hermès now
Everybody got the same swag now
Watch the way that I tear it down
Stackin' my bands all the way to the top
All the way 'til my bands fallin' over
Every time that you leave your spot
Your girlfriend call me like, ""Come on over""
I like the way that she treat me, gon' leave you, won't leave me, I call it that Casanova
She say I'm insane, yeah, I might blow my brain out (Hey)
Xanny, help the pain, yeah
Please, Xanny, make it go away
I'm committed, not addicted, but it keep control of me
All the pain, now I can't feel it, I swear that it's slowin' me, yeah

I don't really care if you cry
On the real, you should've never lied
Saw the way she looked me in my eyes
She said, ""I am not afraid to die""
Yeah, all my friends are dead
Push me to the edge, yeah, all my friends are dead
Yeah, ooh, push me to the edge
All my friends are dead, yeah, all my friends are dead, yeah

That is not your swag, I swear you fake hard
Now these niggas wanna take my cadence (Yeah)
Rain on 'em, thunderstorm, rain on 'em (Ooh, yeah)
Medicine, lil' nigga, take some (Yeah, yeah)
Fast car, NASCAR, race on 'em
In the club, ain't got no ones, then we would beg them (Yeah)
Clothes from overseas
Got the racks and they all C-Notes, you is not a G though
Lookin' at you stackin' all your money, it all green though
I was countin' that and these all twenties, that's a G-roll

She say, ""You're the worst, you're the worst""
I cannot die because this my universe

I don't really care if you cry
On the real, you should've never lied
Should've saw the way she looked me in my eyes
She said, ""Baby, I am not afraid to die""
Push me to the edge
All my friends are dead, push me to the edge
All my friends are dead, push me to the edge
All my friends are dead, push me to the edge",
